,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha_cere,param_alpha_cor,param_lambda_cere,param_lambda_cor,param_rank,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
289,93.94456100463867,11.021381879615143,0.10705749193827312,0.014567532445301875,100,100,0.1,1,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 0.1, 'lambda_cor': 1, 'rank': 1}",-0.13373922243631572,-0.10538163607809618,-0.16250497413562937,-0.13387527755001374,0.023320703547910347,143
290,85.44392498334248,10.492906569940931,0.1130220095316569,0.009782269445304024,100,100,0.1,100,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 0.1, 'lambda_cor': 100, 'rank': 1}",-0.13471187775036345,-0.10597998259548101,-0.16397669839304244,-0.13488951957962894,0.023677393272774013,254
291,92.34853498140971,18.835645020267496,0.11138057708740234,0.009966007557925148,100,100,0.1,1000,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 0.1, 'lambda_cor': 1000, 'rank': 1}",-0.13549283429311962,-0.10629520355460324,-0.16506859012061634,-0.1356188759894464,0.023994300114699628,298
292,98.40931177139282,18.81073747255608,0.1047205924987793,0.002936256146716606,100,100,1,0.1,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 1, 'lambda_cor': 0.1, 'rank': 1}",-0.13373881728268486,-0.10538702376567435,-0.16262804262032482,-0.13391796122289468,0.023368891419906907,156
293,89.8310588200887,3.8843205749412175,0.10739000638326009,0.013104369310518565,100,100,1,1,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 1, 'lambda_cor': 1, 'rank': 1}",-0.1337593682348679,-0.10540232241200527,-0.16267251160808985,-0.13394473408498767,0.02338082423714818,160
294,92.01707355181377,13.259806395363684,0.1079401969909668,0.007465821754939248,100,100,1,100,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 1, 'lambda_cor': 100, 'rank': 1}",-0.13472953665648016,-0.1059316196434094,-0.16416690630136635,-0.13494268753375196,0.02377493397125028,259
295,76.46220596631368,2.038534535924047,0.10470883051554362,0.002812196540811872,100,100,1,1000,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 1, 'lambda_cor': 1000, 'rank': 1}",-0.13544504116714112,-0.1061708468068123,-0.1652621008246936,-0.13562599626621566,0.024124242771015686,300
296,102.14891171455383,14.77188902621537,0.1061243216196696,0.011723264115043082,100,100,100,0.1,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 100, 'lambda_cor': 0.1, 'rank': 1}",-0.1341742003790174,-0.1057125465748262,-0.16410188612631427,-0.13466287769338595,0.023839852452744278,223
297,106.33918491999309,13.03803995170905,0.11536852518717448,0.014404934961965989,100,100,100,1,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 100, 'lambda_cor': 1, 'rank': 1}",-0.1341718889338358,-0.10570606172906166,-0.16415482683491686,-0.13467759249927144,0.023864287651522723,225
298,89.69604436556499,33.12396978020759,0.10657660166422527,0.011068668784261597,100,100,100,100,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 100, 'lambda_cor': 100, 'rank': 1}",-0.13420562545948297,-0.10572795810653089,-0.16562739831911366,-0.13518699396170916,0.024463688023246014,267
