,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
96,sparse,ridge,0,304,tessels0162,s02,6.0,0.9407214267149235,0.9174961092410281
97,sparse,lasso,1,304,tessels0162,s02,-1.0,0.9388677760428364,0.9057245921078781
98,sparse,WTA_old,2,304,tessels0162,s02,,0.540198316769686,0.48021328060019663
99,sparse,WTA,3,304,tessels0162,s02,,0.8324878942199332,0.6183170991503728
100,sparse,ridge,0,304,tessels0162,s03,6.0,0.9518134173901093,0.9452268502194099
101,sparse,lasso,1,304,tessels0162,s03,-1.0,0.9501224400932401,0.9389890708786355
102,sparse,WTA_old,2,304,tessels0162,s03,,0.5997249916985192,0.6038471005495296
103,sparse,WTA,3,304,tessels0162,s03,,0.8655817963182738,0.8092928118310309
104,sparse,ridge,0,304,tessels0162,s04,6.0,0.9569094881027894,0.9441908779981264
105,sparse,lasso,1,304,tessels0162,s04,-1.0,0.9555031873451078,0.9361807031037922
106,sparse,WTA_old,2,304,tessels0162,s04,,0.6300551671247314,0.5974229987835636
107,sparse,WTA,3,304,tessels0162,s04,,0.8810553937492467,0.7699240745488977
108,sparse,ridge,0,304,tessels0162,s06,6.0,0.9278643084188819,0.9125029811427738
109,sparse,lasso,1,304,tessels0162,s06,-1.0,0.9255335898404682,0.899591216092276
110,sparse,WTA_old,2,304,tessels0162,s06,,0.47579339340831844,0.4630184964365295
111,sparse,WTA,3,304,tessels0162,s06,,0.7992466071347982,0.7153871484328999
112,sparse,ridge,0,304,tessels0162,s08,6.0,0.9634186062540375,0.9402352872748777
113,sparse,lasso,1,304,tessels0162,s08,-1.0,0.9620106503650252,0.9329315469160808
114,sparse,WTA_old,2,304,tessels0162,s08,,0.6419388634444443,0.5554241985318566
115,sparse,WTA,3,304,tessels0162,s08,,0.8959386252820521,0.7907296132997625
116,sparse,ridge,0,304,tessels0162,s09,6.0,0.9646588205302523,0.9314148683117762
117,sparse,lasso,1,304,tessels0162,s09,-1.0,0.9633283012010365,0.9212438150442543
118,sparse,WTA_old,2,304,tessels0162,s09,,0.7021559489949383,0.5084491400946587
119,sparse,WTA,3,304,tessels0162,s09,,0.9180542300192678,0.7842933067482281
120,sparse,ridge,0,304,tessels0162,s10,6.0,0.95307963807105,0.9170647469320472
121,sparse,lasso,1,304,tessels0162,s10,-1.0,0.951232040180691,0.9051169736473205
122,sparse,WTA_old,2,304,tessels0162,s10,,0.6084878806255245,0.4763543250758895
123,sparse,WTA,3,304,tessels0162,s10,,0.8559165276884915,0.6911462960963506
124,sparse,ridge,0,304,tessels0162,s12,6.0,0.9479920374655785,0.9147772108134048
125,sparse,lasso,1,304,tessels0162,s12,-1.0,0.9463437758831675,0.90599889666115
126,sparse,WTA_old,2,304,tessels0162,s12,,0.5319275637089224,0.44133049295106724
127,sparse,WTA,3,304,tessels0162,s12,,0.8550695504546018,0.7200442306978168
128,sparse,ridge,0,304,tessels0162,s14,6.0,0.9599819578963293,0.8672891428348265
129,sparse,lasso,1,304,tessels0162,s14,-1.0,0.9586212055217027,0.8345405527250075
130,sparse,WTA_old,2,304,tessels0162,s14,,0.6300663532213419,0.33641619922367316
131,sparse,WTA,3,304,tessels0162,s14,,0.8904387099740647,0.5055360402258177
132,sparse,ridge,0,304,tessels0162,s15,6.0,0.950596613714029,0.9478347212759175
133,sparse,lasso,1,304,tessels0162,s15,-1.0,0.9492319562127345,0.9421982059171969
134,sparse,WTA_old,2,304,tessels0162,s15,,0.5205746155764694,0.5828735873027395
135,sparse,WTA,3,304,tessels0162,s15,,0.8453332331165118,0.8046894748733776
136,sparse,ridge,0,304,tessels0162,s17,6.0,0.9235835669658782,0.9048033830533045
137,sparse,lasso,1,304,tessels0162,s17,-1.0,0.9209188251146022,0.8920349696879939
138,sparse,WTA_old,2,304,tessels0162,s17,,0.45009592520235353,0.4238645074938332
139,sparse,WTA,3,304,tessels0162,s17,,0.7733903811828942,0.6828791626741769
140,sparse,ridge,0,304,tessels0162,s18,6.0,0.936690375763146,0.9101554109469381
141,sparse,lasso,1,304,tessels0162,s18,-1.0,0.9350726082153012,0.9000000106158764
142,sparse,WTA_old,2,304,tessels0162,s18,,0.49726868084473563,0.4641352061869954
143,sparse,WTA,3,304,tessels0162,s18,,0.8070581775915119,0.693752293828351
144,sparse,ridge,0,304,tessels0162,s19,6.0,0.953699851523172,0.9283504299275813
145,sparse,lasso,1,304,tessels0162,s19,-1.0,0.9521477955865102,0.9197838549410711
146,sparse,WTA_old,2,304,tessels0162,s19,,0.592937563449674,0.4802951718874092
147,sparse,WTA,3,304,tessels0162,s19,,0.8496565961311215,0.7425944803168502
148,sparse,ridge,0,304,tessels0162,s20,6.0,0.9616376670700767,0.9532556007023354
149,sparse,lasso,1,304,tessels0162,s20,-1.0,0.9602187560540665,0.9484896211668101
150,sparse,WTA_old,2,304,tessels0162,s20,,0.6680319981386037,0.6530915071626509
151,sparse,WTA,3,304,tessels0162,s20,,0.8915232584220715,0.8428470954856857
152,sparse,ridge,0,304,tessels0162,s21,6.0,0.9485061110194838,0.9599634762019318
153,sparse,lasso,1,304,tessels0162,s21,-1.0,0.9470945279300557,0.9561468497413386
154,sparse,WTA_old,2,304,tessels0162,s21,,0.5284764361742814,0.7015691757872896
155,sparse,WTA,3,304,tessels0162,s21,,0.8473799853858662,0.8567029942946335
156,sparse,ridge,0,304,tessels0162,s22,6.0,0.9302085692853396,0.9051685287032779
157,sparse,lasso,1,304,tessels0162,s22,-1.0,0.9281008501256055,0.8931298102409325
158,sparse,WTA_old,2,304,tessels0162,s22,,0.4526509368991358,0.43732833206924104
159,sparse,WTA,3,304,tessels0162,s22,,0.7864517625005216,0.6535634515515116
