,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
735,30,8.0,plsregress,crossed,tesselsWB162,0.10438219306668167,0.1823970757844007,1.0,0.5334977726890799,1,0.011675159682995994,0.4035883624641028
736,30,9.0,plsregress,crossed,tesselsWB162,0.10274546476908698,0.18028012751517672,1.0,0.5002685129720594,1,0.012168653449045464,0.4078752115086094
737,30,10.0,plsregress,crossed,tesselsWB162,0.10242842883814678,0.17726939687020327,1.0,0.5061745064138139,1,0.01233066225262049,0.4105263585457311
738,30,11.0,plsregress,crossed,tesselsWB162,0.0987580496334763,0.17440824012161085,1.0,0.4416509106963966,1,0.012591067206241638,0.4139025604698063
739,30,12.0,plsregress,crossed,tesselsWB162,0.09344567375441515,0.16259053733331358,1.0,0.3659413975638213,1,0.012618338107477391,0.41565599653443935
740,30,13.0,plsregress,crossed,tesselsWB162,0.0896933559841659,0.16627860170887984,1.0,0.40630729733106113,1,0.012669329535890377,0.41296541733773273
741,30,14.0,plsregress,crossed,tesselsWB162,0.08999287256423297,0.16157714226566908,1.0,0.38093322312480987,1,0.012734015067102115,0.41564441101044475
742,30,15.0,plsregress,crossed,tesselsWB162,0.09335635303118352,0.16991870710013496,1.0,0.3299716345851043,1,0.014233368284812994,0.4207152771679713
743,30,16.0,plsregress,crossed,tesselsWB162,0.09653523323618424,0.1722455510904654,1.0,0.3400694556331617,1,0.014314194986576817,0.41815696330541585
744,30,17.0,plsregress,crossed,tesselsWB162,0.10452275458887487,0.16521465184974335,1.0,0.3409283384708239,1,0.014299241800252554,0.41777715643562224
745,30,18.0,plsregress,crossed,tesselsWB162,0.10425788322835919,0.1614977304232388,1.0,0.3485532511553638,1,0.01396970358960092,0.41811455079717424
746,30,19.0,plsregress,crossed,tesselsWB162,0.10430088672017167,0.15932767407827197,1.0,0.34147269500868793,1,0.01388512061140322,0.4182969176805452
747,30,20.0,plsregress,crossed,tesselsWB162,0.1022761964563299,0.1590657862644811,1.0,0.31911451821837067,1,0.014684963097572204,0.4204974592627803
748,31,1.0,plsregress,crossed,tesselsWB162,0.02326250528937625,0.1502559830609486,1.0,0.08575219905088213,1,0.007106215748825548,0.3061901069528216
749,31,2.0,plsregress,crossed,tesselsWB162,0.08133160928247471,0.1390857525171209,1.0,0.5763550014640736,1,0.0103412940256015,0.3845791890108766
750,31,3.0,plsregress,crossed,tesselsWB162,0.0693231366936991,0.10811944176681303,1.0,0.560510372900663,1,0.010544001460773854,0.39464064779196256
751,31,4.0,plsregress,crossed,tesselsWB162,0.09413835838252732,0.13658859515056004,1.0,0.5993018513466131,1,0.011105616572526403,0.3953512717347679
752,31,5.0,plsregress,crossed,tesselsWB162,0.10710613885116976,0.13941743076509447,1.0,0.6100489973475712,1,0.011305992265565227,0.4006715262926224
753,31,6.0,plsregress,crossed,tesselsWB162,0.11965662701257371,0.14520744136298913,1.0,0.5591090479608773,1,0.012077754052101078,0.4080776658243721
754,31,7.0,plsregress,crossed,tesselsWB162,0.12362777229873681,0.15338113669655415,1.0,0.5473027761139306,1,0.012143503535085136,0.4102269093089092
755,31,8.0,plsregress,crossed,tesselsWB162,0.12428712241026928,0.1532522671689083,1.0,0.5103974446309312,1,0.012066767191298207,0.4126575067963589
756,31,9.0,plsregress,crossed,tesselsWB162,0.1290345179507256,0.15467912988211044,1.0,0.5183466880574564,1,0.012074503978932002,0.4109328219910019
757,31,10.0,plsregress,crossed,tesselsWB162,0.1253563822783231,0.16475723540718656,1.0,0.5329192636885135,1,0.01244024506889063,0.4166086505749188
758,31,11.0,plsregress,crossed,tesselsWB162,0.11986053593291146,0.1470581939380199,1.0,0.5032816768317724,1,0.012843265907552253,0.41648707313690997
759,31,12.0,plsregress,crossed,tesselsWB162,0.11582025872470153,0.14880824694363531,1.0,0.5066157659237511,1,0.013261946885097683,0.41741642653363964
760,31,13.0,plsregress,crossed,tesselsWB162,0.1259576165922656,0.1450799637126703,1.0,0.4607597190722885,1,0.013545936158616526,0.4207996942369943
761,31,14.0,plsregress,crossed,tesselsWB162,0.13643199856808333,0.14970347161847963,1.0,0.49026967009139555,1,0.013726565853740979,0.42332464283044396
762,31,15.0,plsregress,crossed,tesselsWB162,0.13193755569375773,0.14977573447641918,1.0,0.5168892461531562,1,0.013936136264010987,0.4245030080298903
763,31,16.0,plsregress,crossed,tesselsWB162,0.12289232721687372,0.15174890268098232,1.0,0.5053387652791267,1,0.014729042572070371,0.4247572640905281
764,31,17.0,plsregress,crossed,tesselsWB162,0.12678512248788715,0.1514876129338566,1.0,0.49431874453324176,1,0.014902960617438735,0.4259246889221388
765,31,18.0,plsregress,crossed,tesselsWB162,0.12680701644828807,0.15179787144978182,1.0,0.48983779850316134,1,0.014800891788285853,0.42518721838826984
766,31,19.0,plsregress,crossed,tesselsWB162,0.12753780112083474,0.14625965778666253,1.0,0.4562083807793906,1,0.014599701881004231,0.42567272179151294
