,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
33,group,1.8738174228603839,l2regress,crossed,tesselsWB362,0.5373758532846661,0.5535955873892686,1.0,0.7790150371477551,1,0.008020102682944936,0.4350422786934882
34,group,3.511191734215131,l2regress,crossed,tesselsWB362,0.5515359858236826,0.5717435987370587,1.0,0.8000078086007298,1,0.008159252074060017,0.43539424377279345
35,group,6.579332246575679,l2regress,crossed,tesselsWB362,0.5663897184011135,0.591911790751094,1.0,0.8253384448516801,1,0.008341318231763522,0.4357458333245063
36,group,12.32846739442066,l2regress,crossed,tesselsWB362,0.5792373215843967,0.6107318368660275,1.0,0.8516262393197603,1,0.008540636856981712,0.43591244607783974
37,group,23.101297000831593,l2regress,crossed,tesselsWB362,0.5886947808661531,0.6257016618033637,1.0,0.8751173768997507,1,0.008699299920752399,0.43570652522199144
38,group,43.28761281083057,l2regress,crossed,tesselsWB362,0.595574067530672,0.6369550791192441,1.0,0.893581049666176,1,0.008741263636770536,0.4349605507006093
39,group,81.11308307896869,l2regress,crossed,tesselsWB362,0.6015892131062143,0.6466532464025072,1.0,0.906663176768883,1,0.008595094020629307,0.43327889581719775
40,group,151.99110829529332,l2regress,crossed,tesselsWB362,0.6075274458207621,0.6568432934273747,1.0,0.9149123437371873,1,0.008244660347716091,0.4305837509677513
41,group,284.8035868435799,l2regress,crossed,tesselsWB362,0.6124998715811529,0.6679428389660715,1.0,0.9184860782331484,1,0.007746339199133473,0.42704594898641357
42,group,533.6699231206308,l2regress,crossed,tesselsWB362,0.614134499674914,0.6784614775128766,1.0,0.916248407540075,1,0.007190037042744666,0.4229743017324264
43,group,1000.0,l2regress,crossed,tesselsWB362,0.6094388823161403,0.6856726348123195,1.0,0.9060520160346155,1,0.0066383744726460124,0.4175612003298503
44,group,1.0,plsregress,crossed,tesselsWB362,0.3274390901734602,0.4704926171938394,1.0,0.7314578174170879,1,0.002330228094343952,0.20295867212569652
